순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
12,푸이그,키움,0.212,40,172,156,17,33,2,0,6,53,20,0,0,12,4,38,1,0.34,0.285,0.625,2,0,0,8,35,50,0.7,3,3.76,16.3,0,9,0.256,0,0.32,0.128,0.213,66.5,0.291,-0.4,0.241,7,22.1,14.2,0.205
13,오선진,키움,0.238,99,163,143,15,34,8,0,1,45,19,0,0,12,3,45,2,0.315,0.308,0.623,4,1,4,9,40,25,1.6,5,4.22,14.4,0,8,0.313,0,0.27,0.077,0.217,70.2,0.296,-0.1,0.337,7.4,27.6,13.4,0.161
14,임병욱,키움,0.233,52,140,133,12,31,4,3,2,47,13,1,0,5,0,33,3,0.353,0.259,0.612,1,1,1,9,41,29,1.41,0,3.73,11.6,0,6,0.29,0.222,0.15,0.12,0.205,56.6,0.277,0,0.293,3.6,23.6,12.3,0.165
15,김재현,키움,0.208,62,128,120,12,25,5,0,0,30,5,1,0,1,3,31,1,0.25,0.234,0.484,4,0,4,5,46,18,2.56,1,3.48,6.1,0,5,0.132,0,0.03,0.042,0.168,20.6,0.227,-0.5,0.281,0.8,24.2,6.4,0.058
16,스톤,키움,0.241,22,93,87,4,21,0,0,2,27,15,0,0,5,0,24,2,0.31,0.28,0.59,1,1,0,2,19,24,0.79,1,3.99,7.6,0,6,0.286,1,0.21,0.069,0.204,54,0.273,-0.2,0.306,5.4,25.8,7.6,0.126
17,김동헌,키움,0.268,49,91,82,8,22,3,0,0,25,8,0,0,7,1,23,0,0.305,0.33,0.635,1,1,0,3,21,17,1.24,0,4.42,9.2,0,3,0.292,0.6,0.3,0.037,0.225,75.7,0.303,0.3,0.367,7.7,25.3,8.1,0.122
18,송지후,키움,0.175,33,86,80,5,14,3,0,1,20,8,0,1,3,2,18,3,0.25,0.221,0.471,2,1,0,4,25,24,1.04,0,3.76,3.2,0,3,0.154,0,0.17,0.075,0.162,16.3,0.221,0,0.21,3.5,20.9,4.1,0.1
19,이형종,키움,0.2,33,82,70,4,14,3,0,2,23,6,1,0,9,1,22,3,0.329,0.3,0.629,0,0,2,5,21,13,1.62,0,4.07,6.9,0,1,0.2,0.222,0.41,0.129,0.217,71.9,0.298,0.3,0.261,11,26.8,6.7,0.271
20,여동욱,키움,0.132,28,61,53,6,7,1,0,2,14,2,0,0,7,0,21,2,0.264,0.233,0.497,4,0,1,3,12,13,0.92,0,4.07,3,0,0,0,0.286,0.33,0.132,0.171,29,0.239,-0.4,0.167,11.5,34.4,3.3,0.264
21,원성준,키움,0.174,24,53,46,5,8,1,0,2,15,4,0,0,7,0,18,1,0.326,0.283,0.609,0,0,0,3,10,10,1,0,4.09,4.5,0,3,0.333,0.2,0.39,0.152,0.209,64.3,0.288,-0.1,0.231,13.2,34,4.2,0.304
22,박수종,키움,0.143,38,45,42,6,6,0,0,1,9,2,1,0,3,0,12,0,0.214,0.2,0.414,1,0,0,1,12,12,1,0,4.18,1.8,0,2,0.083,0,0.25,0.071,0.144,-0.2,0.198,-0.1,0.172,6.7,26.7,1.8,0.167
23,이용규,키움,0.216,14,41,37,7,8,1,0,0,9,0,1,0,3,0,8,1,0.243,0.275,0.518,1,0,1,1,14,7,2,0,3.76,2.4,0,2,0.143,0,0.38,0.027,0.185,38.5,0.252,0,0.276,7.3,19.5,2.5,0.135
24,김웅빈,키움,0.083,10,31,24,1,2,0,0,0,2,0,0,0,6,0,7,2,0.083,0.267,0.35,0,0,1,0,6,9,0.67,0,4.23,0.3,0,0,0,0,0.86,0,0.141,10.9,0.213,-0.3,0.118,19.4,22.6,0.5,0.25
25,김동엽,키움,0.222,9,29,27,2,6,2,0,0,8,2,0,0,2,0,11,1,0.296,0.276,0.572,0,0,0,2,3,7,0.43,0,4.14,1.8,0,2,0.5,0,0.18,0.074,0.198,51.6,0.27,-0.1,0.375,6.9,37.9,2.2,0.148
26,고영우,키움,0.217,14,26,23,4,5,1,0,0,6,2,0,0,2,0,6,2,0.261,0.28,0.541,2,0,1,1,7,5,1.4,0,3.5,1,0,1,0.3,0,0.33,0.043,0.191,45.3,0.261,-0.1,0.294,7.7,23.1,1.7,0.13
27,권혁빈,키움,0.1,22,24,20,1,2,0,0,0,2,1,0,0,2,0,7,1,0.1,0.182,0.282,0,0,2,0,4,7,0.57,0,3.79,-0.3,0,0,0,0,0.29,0,0.107,-32.4,0.153,-0.4,0.154,8.3,29.2,0.4,0.1
28,염승원,키움,0.211,11,21,19,2,4,0,0,0,4,1,0,0,1,0,6,0,0.211,0.238,0.449,0,1,0,0,8,2,4,0,3.76,1.3,0,0,0,0,0.17,0,0.16,10.5,0.213,-0.2,0.286,4.8,28.6,1,0.053
29,변상권,키움,0.263,12,20,19,2,5,2,0,0,7,4,0,0,0,0,2,0,0.368,0.25,0.618,0,1,0,2,8,5,1.6,0,3.45,2,0,0,0.333,0.167,0,0.105,0.205,51.1,0.269,-0.1,0.278,0,10,1.8,0.105
30,이주형,키움,0.313,11,17,16,2,5,0,0,0,5,2,0,0,1,0,7,0,0.313,0.353,0.666,0,0,0,0,2,2,1,0,3.88,1.8,0,1,0.6,0.143,0.14,0,0.237,85.9,0.318,-0.1,0.556,5.9,41.2,1.8,0.063
31,장재영,키움,0.143,10,16,14,1,2,0,0,0,2,2,1,0,2,0,7,0,0.143,0.25,0.393,1,0,0,0,2,3,0.67,0,3.63,0.7,0,0,0.333,0,0.29,0,0.148,9,0.211,-0.1,0.286,12.5,43.8,0.5,0.214
32,양현종,키움,0.083,12,14,12,1,1,0,0,0,1,0,0,0,2,0,5,0,0.083,0.214,0.297,1,0,0,0,2,4,0.5,0,4.5,0.2,0,0,0,0,0.4,0,0.117,-17.1,0.175,-0.3,0.143,14.3,35.7,0.2,0.167
33,강진성,키움,0.182,6,13,11,1,2,0,0,0,2,1,0,0,2,0,1,2,0.182,0.308,0.49,0,0,0,0,7,1,7,1,3.46,0.1,0,1,0.2,0,2,0,0.184,44,0.259,0,0.2,15.4,7.7,0.6,0.182
34,이원석,키움,0.143,5,8,7,1,1,0,0,0,1,0,0,0,1,0,2,1,0.143,0.25,0.393,0,0,0,0,2,2,1,0,4.25,-0.1,0,0,0,0,0.5,0,0.148,9,0.211,-0.1,0.2,12.5,25,0.3,0.143
34,서유신,키움,0,6,8,7,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0.125,0.125,1,0,0,0,2,1,2,0,4.38,-0.3,0,0,0,0,0.25,0,0.056,-74.6,0.095,-0.3,0,12.5,50,0,0.143
36,김병휘,키움,0.25,7,6,4,2,1,0,0,0,1,0,0,0,2,0,1,0,0.25,0.5,0.75,0,0,0,0,0,2,0,0,5.67,0.9,0,0,0,0,2,0,0.288,150.6,0.407,0.2,0.333,33.3,16.7,0.5,0.5
37,이승원,키움,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2.5,-0.2,0,0,0,0,0,0,0,-142.9,0,-0.2,0,0,0,0,0
37,이재상,키움,0.5,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0.5,1,1,0,0,0,0,0,0,0,3,0.4,0,0,0,0,0,0,0.35,191.4,0.464,-0.1,1,0,50,0.5,0
39,주승우,키움,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,알칸타라,키움,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,박주성,키움,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,박정훈,키움,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,박윤성,키움,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,이준우,키움,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,노시환,한화,0.26,144,624,539,97,140,28,2,32,268,101,14,5,70,11,125,22,0.497,0.354,0.851,17,4,0,62,121,157,0.77,16,3.94,91.3,10,37,0.29,0,0.56,0.237,0.284,131.6,0.381,6.8,0.28,11.2,20,92.4,0.384
2,문현빈,한화,0.32,141,592,528,71,169,30,2,12,239,80,17,6,38,10,82,11,0.453,0.37,0.823,3,11,5,44,148,140,1.06,13,3.62,88,2,53,0.319,0.25,0.46,0.133,0.28,125.8,0.373,3.1,0.353,6.4,13.9,87.4,0.225
3,채은성,한화,0.288,132,527,480,54,138,27,1,19,224,88,1,2,31,13,96,4,0.467,0.347,0.814,6,0,3,47,117,129,0.91,10,3.72,74.5,5,39,0.333,0,0.32,0.179,0.273,122.2,0.368,2.4,0.326,5.9,18.2,74.1,0.242
4,손아섭,한화,0.288,111,416,372,39,107,22,3,1,138,50,0,4,37,1,59,3,0.371,0.352,0.723,0,2,4,26,133,75,1.77,3,3.79,47.8,2,24,0.31,0.222,0.63,0.083,0.251,101.4,0.339,1.2,0.338,8.9,14.2,48.6,0.172
5,이진영,한화,0.274,115,366,321,49,88,13,0,11,134,43,1,4,38,2,93,8,0.417,0.35,0.767,2,5,0,24,80,65,1.23,2,3.95,46.9,0,19,0.239,0.25,0.41,0.143,0.262,110.3,0.351,1.9,0.347,10.4,25.4,47,0.252
6,최재훈,한화,0.286,121,348,269,28,77,15,0,1,95,35,1,1,46,17,48,4,0.353,0.414,0.767,5,6,10,16,85,65,1.31,4,4.14,47.5,0,16,0.355,0,0.96,0.067,0.275,126,0.373,4.5,0.336,13.2,13.8,37.1,0.238
7,김태연,한화,0.261,120,340,303,40,79,15,0,3,103,20,5,3,23,8,62,10,0.34,0.329,0.669,5,0,6,18,72,90,0.8,1,3.74,32,0,19,0.197,0.067,0.37,0.079,0.233,85.2,0.317,0.4,0.319,6.8,18.2,32.2,0.162
8,하주석,한화,0.297,95,305,276,34,82,14,0,4,108,28,2,1,12,5,66,10,0.391,0.337,0.728,2,1,11,18,74,55,1.35,1,3.52,32.8,0,24,0.329,0.091,0.18,0.094,0.249,98.6,0.335,0.3,0.377,3.9,21.6,35.3,0.141
9,황영묵,한화,0.273,117,286,260,40,71,17,1,1,93,22,1,3,20,2,37,4,0.358,0.329,0.687,6,1,2,19,96,57,1.68,4,3.64,29.1,0,18,0.3,0.455,0.54,0.085,0.238,88.2,0.321,0,0.314,7,12.9,30.2,0.154
10,플로리얼,한화,0.271,65,285,258,36,70,18,2,8,116,29,13,3,24,1,65,2,0.45,0.333,0.783,5,2,0,28,56,69,0.81,3,3.86,39.8,2,21,0.222,0,0.37,0.178,0.262,111.7,0.353,1.8,0.332,8.4,22.8,38.7,0.31
11,이도윤,한화,0.26,113,277,250,37,65,11,3,1,85,36,1,0,11,3,52,5,0.34,0.296,0.636,4,3,10,15,72,64,1.13,3,3.85,24.9,1,13,0.25,0.4,0.21,0.08,0.218,68.8,0.294,-0.1,0.32,4,18.8,24.8,0.128
12,심우준,한화,0.231,94,275,247,39,57,9,1,2,74,22,11,1,17,3,49,4,0.3,0.287,0.587,7,1,7,12,69,73,0.95,2,3.94,23,0,9,0.25,0,0.35,0.069,0.204,57,0.277,0.6,0.279,6.2,17.8,20.7,0.178
13,리베라토,한화,0.313,62,273,246,41,77,18,2,10,129,39,1,0,23,0,47,3,0.524,0.366,0.89,3,4,0,30,60,66,0.91,6,3.62,45.7,0,22,0.339,0,0.49,0.211,0.296,141.7,0.395,3.1,0.347,8.4,17.2,48,0.309
14,이원석,한화,0.203,129,248,212,60,43,7,0,4,62,24,22,3,23,4,51,4,0.292,0.29,0.582,1,2,7,11,55,65,0.85,6,3.77,22.9,0,11,0.149,0.5,0.45,0.09,0.204,58.4,0.279,0,0.245,9.3,20.6,17.4,0.288
15,안치홍,한화,0.172,66,196,174,9,30,4,0,2,40,18,3,0,16,1,39,4,0.23,0.245,0.475,1,1,4,6,49,57,0.86,2,3.75,9.7,2,5,0.238,0.2,0.41,0.057,0.168,23.6,0.231,-1.5,0.209,8.2,19.9,9.7,0.167
16,최인호,한화,0.259,78,159,139,7,36,9,0,2,51,19,1,0,13,5,29,5,0.367,0.342,0.709,0,1,1,11,38,37,1.03,2,4.16,17.2,0,6,0.3,0.308,0.45,0.108,0.246,97.1,0.333,0.1,0.312,8.2,18.2,16.4,0.209
17,이재원,한화,0.2,98,151,125,4,25,2,1,1,32,12,1,1,14,1,23,3,0.256,0.28,0.536,6,3,8,4,46,34,1.35,0,3.46,10.5,0,3,0.162,0,0.61,0.056,0.19,44.4,0.26,0.4,0.231,9.3,15.2,9,0.168
18,임종찬,한화,0.167,17,35,30,2,5,1,0,1,9,2,2,0,5,0,13,0,0.3,0.286,0.586,1,0,0,2,4,8,0.5,0,4.2,3.4,0,1,0.2,0,0.38,0.133,0.204,60.4,0.282,-0.1,0.25,14.3,37.1,2.6,0.367
19,허인서,한화,0.172,20,30,29,2,5,1,0,0,6,2,0,0,0,1,12,1,0.207,0.2,0.407,1,0,0,1,9,3,3,0,3.47,0.4,0,0,0.182,0.333,0,0.034,0.142,-3.9,0.193,0,0.294,0,40,1,0.034
20,김인환,한화,0.08,10,26,25,2,2,0,0,1,5,3,0,0,1,0,9,1,0.2,0.115,0.315,2,0,0,1,8,6,1.33,1,4.46,-0.2,0,0,0.167,0,0.11,0.12,0.102,-40.8,0.142,-0.5,0.067,3.8,34.6,0.6,0.16
21,권광민,한화,0.167,15,18,18,2,3,1,0,0,4,0,0,0,0,0,5,1,0.222,0.167,0.389,0,0,0,1,6,4,1.5,0,4.06,0,0,0,0,0.25,0,0.056,0.131,-16.5,0.175,-0.3,0.231,0,27.8,0.7,0.056
22,유로결,한화,0.154,20,16,13,1,2,0,0,0,2,0,1,0,0,1,4,0,0.154,0.214,0.368,0,0,2,0,4,3,1.33,0,2.81,0.6,0,0,0,0,0,0,0.135,-7.6,0.188,-0.3,0.222,0,25,0.3,0.077
23,이상혁,한화,0.2,39,12,10,14,2,1,0,0,3,2,3,4,0,1,3,0,0.3,0.273,0.573,0,0,1,1,2,3,0.67,0,3.17,0.1,0,0,0.25,0,0,0.1,0.198,53.7,0.273,-0.3,0.286,0,25,0.6,0
24,이민재,한화,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0.5,0,3.75,-0.7,0,0,0,0,0,0,0,-142.9,0,-0.1,0,0,25,0,0
25,박정현,한화,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,-0.2,0,0,0,0,0,0,0,-142.9,0,-0.1,0,0,50,0,0
25,장규현,한화,1,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3.5,0.8,0,0,0,0,0,0,0.7,464.4,0.843,0.1,1,50,0,1,1
27,이승현,한화,1,4,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,3,1,4,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,2,1.2,1076.1,1.692,0.1,1,0,0,3,2
28,김승일,한화,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,조동욱,한화,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,박상원,한화,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,김서현,한화,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,윤산흠,한화,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,김종수,한화,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,한승혁,한화,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,정우주,한화,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
