순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
19,노진혁,롯데,0.27,28,69,63,11,17,1,2,1,25,5,0,0,5,1,20,0,0.397,0.333,0.73,2,0,0,4,9,17,0.53,0,4.13,8.5,0,2,0.188,0.267,0.25,0.127,0.249,100.5,0.338,-0.2,0.381,7.2,29,8.1,0.206
19,손성빈,롯데,0.145,51,69,62,6,9,0,0,1,12,3,0,0,4,1,20,1,0.194,0.209,0.403,1,0,2,1,16,17,0.94,0,3.83,1.9,0,0,0.125,0,0.2,0.048,0.143,-0.6,0.197,-0.5,0.195,5.8,29,2.4,0.113
21,한승현,롯데,0.059,19,19,17,1,1,0,0,0,1,1,1,1,1,0,6,0,0.059,0.105,0.164,0,1,0,0,6,5,1.2,0,3.47,-0.4,0,0,0,0,0.17,0,0.062,-78.9,0.089,-0.4,0.083,5.3,31.6,0.1,0.059
22,박재엽,롯데,0.286,9,16,14,2,4,1,0,1,8,3,0,0,2,0,5,0,0.571,0.375,0.946,1,0,0,2,2,3,0.67,1,3.69,2.9,0,1,0.2,0,0.4,0.286,0.312,157.5,0.417,0.2,0.375,12.5,31.3,3,0.429
23,신윤후,롯데,0.167,12,13,12,1,2,0,0,0,2,0,1,0,0,0,3,0,0.167,0.167,0.334,0,0,1,0,3,4,0.75,0,3.31,0.3,0,0,0,0,0,0,0.117,-31.4,0.155,-0.3,0.222,0,23.1,0.3,0.083
24,조세진,롯데,0.143,12,9,7,1,1,0,0,0,1,0,0,0,2,0,4,0,0.143,0.333,0.476,0,0,0,0,2,0,0,0,4.11,0.6,0,0,0,0,0.5,0,0.186,52.8,0.272,0,0.333,22.2,44.4,0.3,0.286
25,최항,롯데,0.167,8,7,6,1,1,0,0,0,1,1,0,0,1,0,4,0,0.167,0.286,0.453,1,0,0,0,0,1,0,0,4.43,0.4,0,0,0.25,0,0.25,0,0.17,30.7,0.241,-0.2,0.5,14.3,57.1,0.3,0.167
26,박건우,롯데,0.667,6,3,3,1,2,0,0,0,2,1,0,0,0,0,1,0,0.667,0.667,1.334,0,0,0,0,0,0,0,0,3.67,0.9,0,0,1,0,0,0,0.467,302.8,0.619,0.1,1,0,33.3,1.3,0
27,강승구,롯데,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.1,0,0,0,0,0,0,0,-142.9,0,0,0,0,0,0,0
27,이태경,롯데,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,-0.1,0,0,0,0,0,0,0,-142.9,0,-0.1,0,0,100,0,0
29,이인한,롯데,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,강성우,롯데,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,김원중,롯데,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,구승민,롯데,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,김강현,롯데,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,윤성빈,롯데,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,정철원,롯데,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,정현수,롯데,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,박준우,롯데,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,박진,롯데,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
