모델,Test MAE,Test RMSE,Test R2,CV R2 평균,CV R2 표준편차,CV MAE 평균
Linear Regression,0.0375,0.0541,0.7425,0.7789,0.0357,0.0352
Random Forest Regressor,0.0528,0.0628,0.6533,0.6451,0.0641,0.0496
