시도,화재유형,발화요인대분류,발화요인소분류,장소대분류,인명피해_발생여부,발생_월,발생_시간,발생_요일
충청북도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,15,6
경기도,"건축,구조물",전기적 요인,과부하/과전류,생활서비스,1,3,15,6
인천광역시,"건축,구조물",전기적 요인,절연열화에 의한 단락,주거,0,3,15,6
경상남도,"자동차,철도차량",전기적 요인,미확인단락,"자동차,철도차량",0,3,15,6
광주광역시,"건축,구조물",부주의,가연물 근접방치,주거,0,3,15,6
경상남도,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",산업시설,0,3,15,6
충청남도,"건축,구조물",부주의,"불씨,불꽃,화원방치",주거,0,3,16,6
충청북도,"건축,구조물",미상,미상,기타서비스,0,3,16,6
경기도,"건축,구조물",부주의,음식물 조리중,생활서비스,0,3,17,6
강원특별자치도,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,17,6
경상남도,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,18,6
경상북도,"자동차,철도차량",전기적 요인,접촉불량에 의한 단락,"자동차,철도차량",0,3,18,6
경기도,기타(쓰레기 화재등),부주의,쓰레기 소각,기타,0,3,18,6
대구광역시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,19,6
대전광역시,"건축,구조물",전기적 요인,접촉불량에 의한 단락,생활서비스,0,3,19,6
전북특별자치도,"건축,구조물",부주의,"불씨,불꽃,화원방치",주거,0,3,20,6
광주광역시,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",산업시설,0,3,20,6
제주특별자치도,"건축,구조물",기계적 요인,"과열, 과부하",생활서비스,0,3,20,6
서울특별시,"건축,구조물",부주의,가연물 근접방치,주거,0,3,20,6
부산광역시,"건축,구조물",전기적 요인,미확인단락,생활서비스,0,3,20,6
부산광역시,"건축,구조물",부주의,음식물 조리중,주거,0,3,20,6
서울특별시,"건축,구조물",전기적 요인,기타(전기적요인),생활서비스,0,3,20,6
강원특별자치도,"건축,구조물",전기적 요인,미확인단락,주거,0,3,21,6
충청남도,"건축,구조물",미상,미상,주거,0,3,21,6
인천광역시,"건축,구조물",미상,미상,주거,0,3,21,6
경기도,"건축,구조물",미상,미상,주거,0,3,21,6
전북특별자치도,"건축,구조물",전기적 요인,미확인단락,운수자동차시설,0,3,21,6
서울특별시,"건축,구조물",전기적 요인,트래킹에 의한 단락,주거,0,3,22,6
경기도,"건축,구조물",기계적 요인,"과열, 과부하",생활서비스,0,3,23,6
서울특별시,"건축,구조물",부주의,음식물 조리중,주거,0,3,23,6
경기도,"건축,구조물",부주의,음식물 조리중,주거,0,3,23,6
경상북도,"건축,구조물",전기적 요인,"압착,손상에 의한 단락",주거,0,3,0,0
서울특별시,"건축,구조물",부주의,담배꽁초,주거,0,3,0,0
인천광역시,"건축,구조물",미상,미상,주거,1,3,0,0
강원특별자치도,"건축,구조물",기계적 요인,"과열, 과부하",산업시설,0,3,0,0
대전광역시,"건축,구조물",전기적 요인,미확인단락,산업시설,0,3,1,0
경상북도,"건축,구조물",부주의,담배꽁초,"의료,복지시설",0,3,1,0
강원특별자치도,"자동차,철도차량",전기적 요인,과부하/과전류,"자동차,철도차량",0,3,2,0
충청남도,"건축,구조물",전기적 요인,미확인단락,산업시설,0,3,4,0
서울특별시,기타(쓰레기 화재등),전기적 요인,과부하/과전류,기타,0,3,5,0
경상북도,"자동차,철도차량",방화,방화,"자동차,철도차량",0,3,5,0
부산광역시,"건축,구조물",전기적 요인,트래킹에 의한 단락,주거,0,3,5,0
인천광역시,"건축,구조물",기계적 요인,"과열, 과부하",생활서비스,0,3,6,0
서울특별시,"건축,구조물",부주의,기타(부주의),주거,0,3,6,0
충청북도,"건축,구조물",미상,미상,"판매,업무시설",1,3,6,0
경상남도,"건축,구조물",전기적 요인,트래킹에 의한 단락,"판매,업무시설",0,3,6,0
광주광역시,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",생활서비스,0,3,6,0
대전광역시,"건축,구조물",전기적 요인,절연열화에 의한 단락,생활서비스,1,3,6,0
충청북도,"자동차,철도차량",교통사고,교통사고,"자동차,철도차량",0,3,6,0
강원특별자치도,"건축,구조물",전기적 요인,미확인단락,주거,1,3,6,0
경기도,"건축,구조물",기계적 요인,"과열, 과부하",주거,0,3,7,0
경상남도,"건축,구조물",기계적 요인,"과열, 과부하",주거,0,3,7,0
전라남도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,8,0
서울특별시,"건축,구조물",전기적 요인,절연열화에 의한 단락,집합시설,0,3,8,0
서울특별시,"건축,구조물",부주의,담배꽁초,주거,0,3,8,0
충청남도,"자동차,철도차량",기타,기타,"자동차,철도차량",0,3,8,0
서울특별시,"건축,구조물",전기적 요인,절연열화에 의한 단락,"판매,업무시설",0,3,8,0
강원특별자치도,"건축,구조물",전기적 요인,절연열화에 의한 단락,주거,0,3,9,0
경상남도,"건축,구조물",전기적 요인,반단선,산업시설,0,3,10,0
전북특별자치도,"건축,구조물",자연적인 요인,기타(자연적인요인),산업시설,1,3,10,0
경상남도,기타(쓰레기 화재등),전기적 요인,미확인단락,기타,0,3,10,0
경기도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,10,0
울산광역시,"건축,구조물",전기적 요인,미확인단락,주거,0,3,10,0
강원특별자치도,"자동차,철도차량",기계적 요인,"오일,연료누설","자동차,철도차량",0,3,10,0
경기도,"건축,구조물",부주의,기타(부주의),"판매,업무시설",0,3,10,0
광주광역시,"건축,구조물",부주의,"용접, 절단, 연마",산업시설,0,3,10,0
인천광역시,"건축,구조물",전기적 요인,미확인단락,주거,0,3,11,0
충청북도,"건축,구조물",전기적 요인,과부하/과전류,주거,0,3,11,0
경상남도,"건축,구조물",전기적 요인,미확인단락,산업시설,0,3,11,0
전북특별자치도,"건축,구조물",기계적 요인,"과열, 과부하",교육시설,0,3,12,0
강원특별자치도,"선박,항공기",화학적 요인,자연발화,"선박,항공기",0,3,12,0
경상남도,"자동차,철도차량",부주의,담배꽁초,"자동차,철도차량",0,3,12,0
대전광역시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,12,0
경기도,기타(쓰레기 화재등),화학적 요인,자연발화,기타,0,3,12,0
강원특별자치도,"건축,구조물",전기적 요인,기타(전기적요인),산업시설,0,3,12,0
경상남도,"건축,구조물",부주의,가연물 근접방치,주거,0,3,12,0
경기도,"자동차,철도차량",전기적 요인,미확인단락,"자동차,철도차량",0,3,13,0
서울특별시,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",생활서비스,0,3,13,0
경상북도,"자동차,철도차량",미상,미상,"자동차,철도차량",0,3,13,0
전북특별자치도,"자동차,철도차량",전기적 요인,과부하/과전류,"자동차,철도차량",0,3,14,0
경기도,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,14,0
인천광역시,"건축,구조물",기계적 요인,기타(기계적요인),산업시설,0,3,14,0
서울특별시,"건축,구조물",전기적 요인,미확인단락,주거,0,3,14,0
경상북도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,15,0
경상남도,"건축,구조물",기계적 요인,"과열, 과부하",주거,0,3,15,0
대전광역시,"건축,구조물",미상,미상,생활서비스,1,3,15,0
