시도,화재유형,발화요인대분류,발화요인소분류,장소대분류,인명피해_발생여부,발생_월,발생_시간,발생_요일
경기도,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",산업시설,1,3,15,3
경기도,"건축,구조물",방화의심,방화의심,집합시설,1,3,15,3
충청남도,"건축,구조물",부주의,담배꽁초,주거,0,3,15,3
경기도,"건축,구조물",전기적 요인,미확인단락,산업시설,0,3,16,3
서울특별시,"건축,구조물",부주의,"불씨,불꽃,화원방치",생활서비스,0,3,16,3
서울특별시,"건축,구조물",부주의,담배꽁초,"판매,업무시설",0,3,16,3
서울특별시,"건축,구조물",부주의,담배꽁초,생활서비스,0,3,16,3
서울특별시,"건축,구조물",미상,미상,산업시설,1,3,16,3
경기도,"건축,구조물",부주의,가연물 근접방치,"판매,업무시설",0,3,17,3
강원특별자치도,"건축,구조물",기계적 요인,"과열, 과부하",주거,0,3,17,3
경상북도,"건축,구조물",부주의,가연물 근접방치,주거,0,3,17,3
경상북도,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","판매,업무시설",0,3,17,3
전북특별자치도,"건축,구조물",부주의,쓰레기 소각,산업시설,0,3,17,3
경상남도,"건축,구조물",미상,미상,기타서비스,0,3,17,3
