round,gameweek,dayofweek,date,start_time,home_team,away_team,score,home_score,away_score,home_pens,away_pens,went_to_penalties,attendance,venue,referee,home_formation,away_formation,home_manager,away_manager,home_captain,away_captain,home_possession,away_possession,home_sot,away_sot,home_total_shots,away_total_shots,home_saves,away_saves,home_cards_yellow,away_cards_yellow,home_cards_red,away_cards_red,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_interceptions,away_interceptions,home_offsides,away_offsides,notes
조별리그,2,수,2026-06-24,05:00,잉글랜드,가나,0-0,0.0,0.0,,,false,63983,"Gillette Stadium, Foxborough",사이드 말티네즈,4-2-3-1,4-1-4-1,토마스 투헬,카를루스 케이로스,해리 케인,졸단 아,79,21,3,1,19,2,0,3,1,1,0,0,14,24,9,2,30,5,1,8,2,2,
조별리그,2,수,2026-06-24,08:00,파나마,크로아티아,0-1,0.0,1.0,,,false,43036,"BMO Field, Toronto",필레 기스란이 아트크호,5-4-1,4-2-3-1,소마스 크흐리스틴센,즐라트코 달리치,일 발케나스,루카 모드리크,42,58,1,2,8,6,1,1,1,1,0,0,19,12,7,2,29,17,4,5,1,2,
조별리그,2,수,2026-06-24,11:00,콜롬비아,콩고민주공화국,1-0,1.0,0.0,,,false,45358,"Estadio Akron, Zapopan",모리지 마리니,4-1-4-1,5-3-2,네스토르 로렌소,세바스틴 데삽레,자메스 로드리구즈,찬켈 므벰바,64,37,9,1,20,7,1,8,2,1,0,0,12,16,5,4,12,14,10,7,7,0,
조별리그,3,목,2026-06-25,04:00,스위스,캐나다,2-1,2.0,1.0,,,false,52497,"BC Place Stadium, Vancouver",라몬 아바트티,4-2-2-2,4-2-2-2,무라트 야킨,제시 마시,그라니트 크스하카,조나트한 다비드,55,45,4,7,6,13,6,2,1,2,0,0,19,13,2,7,6,26,5,13,1,3,
조별리그,3,목,2026-06-25,04:00,보스니아 헤르체고비나,카타르,3-1,3.0,1.0,,,false,66925,"Lumen Field, Seattle",제수스 바렌주라,4-2-2-2,4-3-2-1,셀게즈 발바레즈,훌렌 로페테기,에딘 드제코,하스산 알-헤이도스,55,46,5,3,14,9,2,3,1,1,0,0,9,14,5,5,22,17,4,4,1,3,
조별리그,3,목,2026-06-25,07:00,스코틀랜드,브라질,0-3,0.0,3.0,,,false,64478,"Hard Rock Stadium, Miami Gardens",케살 알투로 라모스,4-2-3-1,4-1-4-1,스티브 클라크,카를로 안첼로티,안디 로베르트손,말쿤호스,46,54,5,9,14,21,5,5,1,2,0,0,10,11,7,6,23,12,2,13,0,1,
조별리그,3,목,2026-06-25,07:00,모로코,아이티,4-2,4.0,2.0,,,false,68239,"Mercedes-Benz Stadium, Atlanta",단니 막케리,4-2-2-2,4-2-2-2,모하메드 오비,세바스틴 믹네,아슈라프 하키미,조니 프라키데,69,31,11,2,22,9,1,8,0,3,0,0,10,18,9,1,22,3,7,14,5,0,
조별리그,3,목,2026-06-25,10:00,남아프리카공화국,대한민국,1-0,1.0,0.0,,,false,51243,"Estadio BBVA, Guadalupe",파쿤도 텔로,4-2-3-1,3-4-3,휘고 브로스,홍명보,론엔 일리므스,김민재,32,69,4,3,13,8,2,3,1,1,0,0,7,9,4,6,8,33,15,4,3,0,
조별리그,3,목,2026-06-25,10:00,체코,멕시코,0-3,0.0,3.0,,,false,80824,"Estadio Banorte, Coyoacán",일 팔콘,3-4-3,4-1-4-1,미로스랍 코이벡,하비에르 아기레,라디스랍 크레즈키,에드손 알바레즈,52,48,1,5,13,11,2,1,0,1,0,0,9,13,5,1,26,13,3,7,1,0,
조별리그,3,금,2026-06-26,05:00,퀴라소,코트디부아르,0-2,0.0,2.0,,,false,68324,"Lincoln Financial Field, Philadelphia",그렌느 니벡르,5-4-1,4-2-2-2,딕 아드보카트,에멜세 파,리느드로 바쿠나,프락느크 케스시,37,63,2,3,11,7,1,2,2,1,0,0,11,6,4,6,15,16,15,12,2,1,
