player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Vinicius J?nior,Brazil,Brazil,FW,25,2000,Real Madrid,5,5,440,4.9,4,1,5,4,0,0,0,0,0.82,0.2,1.02,0.82,1.02,17,11,64.7,3.48,2.25,0.24,0.36,88,97.8,88,4,0,,0,2,10,4,6,1.23,1.23,0,4,10,3,12,1,1,,,0,,,,,,,,,,,,,,,,,,
W?verton,Brazil,Brazil,GK,38,1987,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?derson Silva,Brazil,Brazil,MF,26,1999,Atalanta,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8.18,0,0,,11,4.9,,0,2,11,3,1.5,1,1,0,0,-1.26,0,1,0,0,2,1,0,,,0,,,,,,,,,,,,,,,,,,
C.J. dos Santos,Cabo Verde,Cape Verde,GK,25,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dailon Livramento,Cabo Verde,Cape Verde,FW,25,2001,Casa Pia,3,2,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.52,0,0,,58,44.6,60,0,1,54,1,0.67,1,2,-1,-0.52,-0.52,0,1,1,2,2,0,0,,,0,,,,,,,,,,,,,,,,,,
Deroy Duarte,Cabo Verde,Cape Verde,MF,26,1999,Ludogorets,4,2,264,2.9,1,0,1,1,0,0,0,0,0.34,0,0.34,0.34,0.34,3,2,66.7,1.02,0.68,0.33,0.5,66,67.7,95,1,2,38,0,0.75,2,2,0,0,0.71,0,4,1,0,1,6,5,,,0,,,,,,,,,,,,,,,,,,
Diney,Cabo Verde,Cape Verde,DF,31,1995,,4,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,50,0.92,0.46,0,0,98,100,98,4,0,,0,0.75,4,5,-1,-0.23,,0,2,0,0,0,4,7,,,1,,,,,,,,,,,,,,,,,,
Garry Rodrigues,Cabo Verde,Cape Verde,MF,35,1990,,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.18,0,0,,38,19.5,57,0,1,19,2,1,1,2,-1,-1.18,-1.18,0,0,0,2,2,1,2,,,0,,,,,,,,,,,,,,,,,,
Gilson Benchimol,Cabo Verde,Cape Verde,FW,24,2001,Akron Tolyatti,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,39,20,57,0,1,21,2,0.5,2,3,-1,-1.15,-1.15,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,
H?lio Varela,Cabo Verde,Cape Verde,FW,24,2002,,3,0,104,1.2,1,0,1,1,0,0,0,0,0.87,0,0.87,0.87,0.87,3,1,33.3,2.6,0.87,0.33,1,35,26.7,,0,3,35,1,0.67,2,2,0,0,0.31,0,1,2,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,
