player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
니코라스 페페,코트디부아르,코트디부아르,FW,31,1995,비야레알,4,3,234.0,2.6,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.77,0.38,1.15,0.77,1.15,6.0,3.0,50.0,2.31,1.15,0.33,0.67,59.0,65.0,76.0,0,1,6.0,0,1.5,3.0,3.0,0.0,0.0,-0.71,0.0,1.0,1.0,1.0,10.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
오비테 느 디크카,코트디부아르,코트디부아르,DF,26,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오디론 코스소이노이,코트디부아르,코트디부아르,DF,25,2001,아탈란타,4,3,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,68.0,75.6,90.0,3,1,2.0,0,1.5,5.0,4.0,1.0,0.33,0.33,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
오이말 디키테,코트디부아르,코트디부아르,FW,22,2003,세르클 브뤼헤,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,14.0,7.8,,0,2,14.0,2,1.5,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
오이스마네 디만데,코트디부아르,코트디부아르,DF,22,2003,스포르팅 CP,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,25.0,90.0,1,0,,3,3.0,2.0,0.0,2.0,2.0,2.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
팔파이트 구곤,코트디부아르,코트디부아르,MF,25,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세코 포파나,코트디부아르,코트디부아르,MF,31,1995,포르투,2,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,4.89,0.98,0.0,0.0,46.0,25.6,76.0,0,1,16.0,2,1.5,0.0,1.0,-1.0,-0.98,-1.65,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
시몬 아딩라,코트디부아르,코트디부아르,"FW,MF",24,2002,모나코,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,16.0,4.4,,0,1,16.0,3,0.0,0.0,1.0,-1.0,-5.63,-6.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
이르프리드 신고,코트디부아르,코트디부아르,DF,25,2000,갈라타사라이,2,2,171.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.53,2.0,0.0,0.0,1.05,0.0,0.0,,86.0,47.5,86.0,1,0,,2,1.5,2.0,1.0,1.0,0.53,0.53,0.0,3.0,1.0,0.0,1.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
이히 포파나,코트디부아르,코트디부아르,GK,25,2000,리제스포르,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,4,0,,0,1.5,5.0,4.0,1.0,0.25,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,4.0,4.0,360.0,4.0,1.0,13.0,9.0,69.2,2.0,0.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0,
인 디만데,코트디부아르,코트디부아르,"MF,FW",19,2006,라이프치히,4,4,329.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,4.0,0.0,0.0,1.09,0.0,0.0,,82.0,91.4,82.0,1,0,,0,1.5,5.0,3.0,2.0,0.55,3.45,0.0,2.0,7.0,0.0,14.0,4.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
아란 프란코,에콰도르,에콰도르,DF,27,1998,아틀레치쿠 미네이루,4,4,251.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,63.0,69.7,63.0,0,0,,0,1.0,1.0,3.0,-2.0,-0.72,-0.72,0.0,7.0,0.0,0.0,5.0,4.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
아란 민다,에콰도르,에콰도르,MF,23,2003,아틀레치쿠 미네이루,1,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.27,0.0,0.0,,55.0,15.3,55.0,0,0,,3,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,1.0,0.0,2.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
아느트호니 바렌키,에콰도르,에콰도르,MF,22,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
데닐 카스틸로,에콰도르,에콰도르,MF,22,2004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엔넬 바렌키,에콰도르,에콰도르,FW,36,1989,파추카,4,4,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,60.0,3.14,1.88,0.0,0.0,72.0,79.7,72.0,1,0,,0,1.0,1.0,3.0,-2.0,-0.63,-0.63,0.0,4.0,7.0,2.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
페리스 톨레스 카이케도,에콰도르,에콰도르,DF,29,1997,인테르나시오날,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.0,1.7,,0,1,6.0,3,3.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
곤자로 프라타,에콰도르,에콰도르,FW,25,2000,플라멩구,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.25,0.25,8.0,5.0,62.5,2.0,1.25,0.13,0.2,90.0,100.0,90.0,4,0,,0,1.0,2.0,4.0,-2.0,-0.5,,0.0,5.0,4.0,0.0,8.0,2.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
곤자로 발레,에콰도르,에콰도르,GK,30,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
헬난 가린데즈,에콰도르,에콰도르,GK,39,1987,우라칸,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,4,0,,0,1.0,2.0,4.0,-2.0,-0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.0,4.0,360.0,4.0,1.0,13.0,9.0,69.2,1.0,1.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,
작크손 포로조,에콰도르,에콰도르,DF,25,2000,티후아나,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,29.0,8.1,,0,1,29.0,3,0.0,0.0,1.0,-1.0,-3.1,-2.83,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
제레미 아레바로,에콰도르,에콰도르,FW,21,2005,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죌 올도네즈,에콰도르,에콰도르,DF,22,2004,클럽 브뤼헤,3,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8,0.0,0.0,,75.0,62.5,75.0,2,0,,1,1.0,2.0,4.0,-2.0,-0.8,-0.8,0.0,1.0,1.0,0.0,0.0,1.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
존흐 이보,에콰도르,에콰도르,MF,25,2000,베네치아,4,4,311.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,37.5,2.32,0.87,0.0,0.0,78.0,86.4,78.0,0,0,,0,1.0,2.0,3.0,-1.0,-0.29,1.55,0.0,0.0,4.0,0.0,11.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
졸디 알키발,에콰도르,에콰도르,MF,26,1999,인데펜디엔테,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,45.0,12.5,45.0,0,0,,3,1.0,0.0,0.0,0.0,0.0,0.57,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
졸디 카이케도,에콰도르,에콰도르,FW,28,1997,우라칸,3,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,0.0,0.0,,7.0,5.6,,0,3,7.0,1,1.33,0.0,0.0,0.0,0.0,0.53,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
케느드리 파즈,에콰도르,에콰도르,MF,19,2007,리버 플레이트,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,12.0,3.3,,0,1,12.0,3,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
케빈 로드리구즈,에콰도르,에콰도르,FW,26,2000,유니온 생질루아즈,4,0,118.0,1.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.76,0.0,0.76,6.0,1.0,16.7,4.58,0.76,0.0,0.0,30.0,32.8,,0,4,30.0,0,1.0,1.0,1.0,0.0,0.0,0.74,0.0,3.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
모세스 카이케도,에콰도르,에콰도르,MF,24,2001,첼시,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,1.0,0.25,0.0,0.0,90.0,100.0,90.0,4,0,,0,1.0,2.0,4.0,-2.0,-0.5,,0.0,5.0,4.0,0.0,17.0,4.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
모세스 라미레즈,에콰도르,에콰도르,GK,25,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
닐손 안구로,에콰도르,에콰도르,MF,22,2003,선덜랜드,4,2,218.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.41,0.41,2.0,2.0,100.0,0.83,0.83,0.5,0.5,55.0,60.6,81.0,0,2,28.0,0,1.0,2.0,4.0,-2.0,-0.83,-0.83,0.0,4.0,3.0,0.0,5.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
페드로 비테,에콰도르,에콰도르,MF,24,2002,UNAM 푸마스,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,4.0,1.0,25.0,1.0,0.25,0.0,0.0,90.0,100.0,90.0,4,0,,0,1.0,2.0,4.0,-2.0,-0.5,,0.0,2.0,5.0,0.0,6.0,5.0,11.0,,,0.0,,,,,,,,,,,,,,,,,,
펠비스 에스투피난,에콰도르,에콰도르,MF,28,1998,AC 밀란,2,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,24.7,69.0,0,1,20.0,2,2.0,1.0,0.0,1.0,1.01,2.01,0.0,3.0,0.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
피로 힌카피,에콰도르,에콰도르,DF,24,2002,아스널,4,4,339.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.8,0.0,0.0,,85.0,94.2,85.0,2,0,,0,1.0,1.0,4.0,-3.0,-0.8,-5.08,0.0,5.0,4.0,0.0,14.0,4.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
